Id,Source,Target,Weight,Type
300,251,2,1,Undirected
301,251,4,1,Undirected
302,252,2,1,Undirected
303,253,1,1,Undirected
304,254,2,3,Undirected
305,255,1,1,Undirected
306,256,4,1,Undirected
307,256,2,2,Undirected
308,257,2,3,Undirected
309,258,2,1,Undirected
310,259,2,1,Undirected
311,260,2,1,Undirected
312,261,2,1,Undirected
313,262,1,1,Undirected
314,263,2,1,Undirected
315,264,2,2,Undirected
316,265,2,1,Undirected
317,266,2,1,Undirected
318,267,1,1,Undirected
319,268,2,1,Undirected
320,269,2,1,Undirected
321,270,1,1,Undirected
322,270,2,1,Undirected
323,271,2,6,Undirected
324,271,4,1,Undirected
325,272,2,2,Undirected
326,273,2,4,Undirected
327,273,3,3,Undirected
328,273,4,2,Undirected
329,274,2,1,Undirected
330,275,1,1,Undirected
331,276,2,1,Undirected
332,277,2,1,Undirected
333,278,1,1,Undirected
334,279,2,1,Undirected
335,280,1,1,Undirected
336,280,2,5,Undirected
337,281,2,1,Undirected
338,282,4,1,Undirected
339,283,2,1,Undirected
340,284,1,1,Undirected
341,285,2,16,Undirected
342,285,1,9,Undirected
